tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 300, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5200258, b_ADM1_PT: Goiás, b_ADM2_PT: Águas Lindas de Goiás, au_area_km2: 192.28

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 301, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5215603, b_ADM1_PT: Goiás, b_ADM2_PT: Padre Bernardo, au_area_km2: 3142.88

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 302, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5217609, b_ADM1_PT: Goiás, b_ADM2_PT: Planaltina, au_area_km2: 2550.32

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 303, b_ADM1_PCODE: BR53, b_ADM2_PCODE: BR5300108, b_ADM1_PT: Distrito Federal, b_ADM2_PT: Brasília, au_area_km2: 5760.99

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 304, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5206800, b_ADM1_PT: Goiás, b_ADM2_PT: Damolândia, au_area_km2: 84.35

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 305, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5208004, b_ADM1_PT: Goiás, b_ADM2_PT: Formosa, au_area_km2: 5814.1

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 306, b_ADM1_PCODE: BR31, b_ADM2_PCODE: BR3109303, b_ADM1_PT: Minas Gerais, b_ADM2_PT: Buritis, au_area_km2: 5225.42

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 307, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5222203, b_ADM1_PT: Goiás, b_ADM2_PT: Vila Boa, au_area_km2: 1060.53

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 308, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5200803, b_ADM1_PT: Goiás, b_ADM2_PT: Alvorada do Norte, au_area_km2: 1259.55

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 309, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5209804, b_ADM1_PT: Goiás, b_ADM2_PT: Hidrolina, au_area_km2: 580.39

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 310, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5214861, b_ADM1_PT: Goiás, b_ADM2_PT: Nova Glória, au_area_km2: 413.36

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 311, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5203203, b_ADM1_PT: Goiás, b_ADM2_PT: Barro Alto, au_area_km2: 1093.22

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 312, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5219357, b_ADM1_PT: Goiás, b_ADM2_PT: Santa Isabel, au_area_km2: 807.74

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 313, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5208608, b_ADM1_PT: Goiás, b_ADM2_PT: Goianésia, au_area_km2: 1547.34

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 314, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5216908, b_ADM1_PT: Goiás, b_ADM2_PT: Pilar de Goiás, au_area_km2: 906.26

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 315, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5210158, b_ADM1_PT: Goiás, b_ADM2_PT: Ipiranga de Goiás, au_area_km2: 240.66

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 316, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5218607, b_ADM1_PT: Goiás, b_ADM2_PT: Rialma, au_area_km2: 268.3

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 317, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5222302, b_ADM1_PT: Goiás, b_ADM2_PT: Vila Propício, au_area_km2: 2181.67

